MSTRG.8622	1+0-	multi_mus_PRJNA398031_4
Dock7	0+1-	multi_mus_PRJNA398031_4
Fam220a	0+1-	multi_mus_PRJNA398031_4
Tmub1	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.18516	0+1-	multi_mus_PRJNA398031_4
MSTRG.17413	1+0-	multi_mus_PRJNA398031_4
MSTRG.32588	1+0-	multi_mus_PRJNA398031_4
Cdkl1	1+0-	4. PRJNA281134_3
Eftud2	0+1-	multi_mus_PRJNA398031_4
Ncoa7	0+1-	multi_mus_PRJNA398031_4
MSTRG.3569	1+0-	9.PRJNA322294_5
MSTRG.24357	0+1-	multi_mus_PRJNA398031_4
MSTRG.13463	1+0-	4. PRJNA281134_3
MSTRG.4829	1+0-	4. PRJNA281134_3
Tmem19	0+1-	multi_mus_PRJNA398031_4
Wdr4	0+1-	multi_mus_PRJNA398031_4
MSTRG.5022	1+0-	multi_mus_PRJNA398031_4
MSTRG.23648	0+1-	multi_mus_PRJNA398031_4
Rab3gap2	0+1-	multi_mus_PRJNA398031_4
MSTRG.3488	1+0-	multi_mus_PRJNA398031_4
Cpsf4	0+1-	4. PRJNA281134_4
Lmtk2	0+1-	multi_mus_PRJNA398031_4
MSTRG.19195	0+1-	multi_mus_PRJNA398031_4
MSTRG.20897	1+0-	9.PRJNA322294_5
MSTRG.8613	1+0-	multi_mus_PRJNA398031_4
MSTRG.13760	1+0-	multi_mus_PRJNA398031_4
Abca5	0+1-	multi_mus_PRJNA398031_4
MSTRG.13798	1+0-	multi_mus_PRJNA398031_4
Vasp	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.5777	0+1-	multi_mus_PRJNA398031_4
MSTRG.15901	1+0-	4. PRJNA281134_3
Ankrd33b	0+1-	multi_mus_PRJNA398031_4
MSTRG.1499	1+0-	multi_mus_PRJNA398031_4
MSTRG.32590	1+0-	multi_mus_PRJNA398031_4
MSTRG.4267	0+1-	multi_mus_PRJNA398031_4
MSTRG.23349	1+0-	multi_mus_PRJNA398031_4
Ikbkg	0+1-	9.PRJNA322294_5
MSTRG.19004	1+0-	multi_mus_PRJNA398031_4
MSTRG.32860	0+1-	multi_mus_PRJNA398031_4
MSTRG.19367	0+1-	multi_mus_PRJNA398031_4
Mbd4	0+1-	multi_mus_PRJNA398031_4
MSTRG.22426	0+1-	multi_mus_PRJNA398031_4
MSTRG.2198	0+1-	4. PRJNA281134_4
MSTRG.13054	0+1-	mus_PRJNA293822_27
MSTRG.6779	0+1-	multi_mus_PRJNA398031_4
Naca	0+1-	multi_mus_PRJNA398031_4
MSTRG.7031	0+1-	multi_mus_PRJNA398031_4
MSTRG.5121	1+0-	multi_mus_PRJNA398031_4
MSTRG.25002	0+1-	multi_mus_PRJNA398031_4
MSTRG.5138	0+1-	multi_mus_PRJNA398031_4
MSTRG.26672	0+1-	multi_mus_PRJNA398031_4
MSTRG.32418	1+0-	multi_mus_PRJNA398031_4
Atad3a	0+1-	multi_mus_PRJNA398031_4
MSTRG.9264	0+1-	multi_mus_PRJNA398031_4
Caprin2	1+0-	5. PRJNA322593 o PRJNA323485_10
Magi1	0+1-	4. PRJNA281134_4
Lgr4	0+1-	multi_mus_PRJNA398031_4
Gtf3c5	1+0-	multi_mus_PRJNA398031_4
Stk11	1+0-	multi_mus_PRJNA398031_4
MSTRG.34117	0+1-	multi_mus_PRJNA398031_4
MSTRG.11744	1+0-	multi_mus_PRJNA398031_4
MSTRG.14590	1+0-	mus_PRJNA293822_27
MSTRG.3092	0+1-	multi_mus_PRJNA398031_4
Arih2	0+1-	multi_mus_PRJNA398031_4
MSTRG.34867	1+0-	multi_mus_PRJNA398031_4
Pwp1	0+1-	multi_mus_PRJNA398031_4
Elp3	1+0-	multi_mus_PRJNA398031_4
MSTRG.9451	0+1-	4. PRJNA281134_4
MSTRG.22525	1+0-	multi_mus_PRJNA398031_4
Slc39a9	0+1-	multi_mus_PRJNA398031_4
MSTRG.27985	0+1-	multi_mus_PRJNA398031_4
MSTRG.35151	0+1-	multi_mus_PRJNA398031_4
MSTRG.33203	0+1-	multi_mus_PRJNA398031_4
MSTRG.20106	0+1-	multi_mus_PRJNA398031_4
MSTRG.24083	0+1-	multi_mus_PRJNA398031_4
MSTRG.10036	0+1-	mus_PRJNA293822_27
Gucd1	0+1-	multi_mus_PRJNA398031_4
MSTRG.17037	0+1-	4. PRJNA281134_4
MSTRG.9935	0+1-	multi_mus_PRJNA398031_4
MSTRG.33349	1+0-	multi_mus_PRJNA398031_4
MSTRG.18536	0+1-	4. PRJNA281134_4
Kdm6a	0+1-	multi_mus_PRJNA398031_4
Rusc2	0+1-	mus_PRJNA293822_27
MSTRG.33475	0+1-	multi_mus_PRJNA398031_4
Mapk8ip3	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.23422	0+1-	multi_mus_PRJNA398031_4
MSTRG.33987	1+0-	multi_mus_PRJNA398031_4
Trappc9	1+0-	5. PRJNA322593 o PRJNA323485_10
Tnrc6b	0+1-	multi_mus_PRJNA398031_4
Plaa	0+1-	multi_mus_PRJNA398031_4
Wdr24	0+1-	multi_mus_PRJNA398031_4
MSTRG.17056	0+1-	multi_mus_PRJNA398031_4
MSTRG.8991	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.21304	1+0-	9.PRJNA322294_5
MSTRG.19416	0+1-	multi_mus_PRJNA398031_4
MSTRG.28936	0+1-	multi_mus_PRJNA398031_4
MSTRG.23754	1+0-	multi_mus_PRJNA398031_4
MSTRG.35208	1+0-	multi_mus_PRJNA398031_4
MSTRG.6598	0+1-	multi_mus_PRJNA398031_4
MSTRG.7381	0+1-	5. PRJNA322593 o PRJNA323485_9
Scn8a	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.5469	0+1-	4. PRJNA281134_3
Tstd2	0+1-	multi_mus_PRJNA398031_4
Ppm1m	0+1-	multi_mus_PRJNA398031_4
Elmo2	0+1-	multi_mus_PRJNA398031_4
MSTRG.18098	1+0-	mus_PRJNA293822_27
MSTRG.13856	0+1-	multi_mus_PRJNA398031_4
Zfp862-ps	1+0-	multi_mus_PRJNA398031_4
MSTRG.8389	1+0-	multi_mus_PRJNA398031_4
MSTRG.4092	0+1-	9.PRJNA322294_5
MSTRG.22399	1+0-	multi_mus_PRJNA398031_4
MSTRG.7012	0+1-	4. PRJNA281134_4
Dhrs7b	0+1-	multi_mus_PRJNA398031_4
Rnpep	0+1-	multi_mus_PRJNA398031_4
MSTRG.23395	0+1-	multi_mus_PRJNA398031_4
Fkbp5	0+1-	multi_mus_PRJNA398031_4
MSTRG.28865	1+0-	multi_mus_PRJNA398031_4
MSTRG.19576	1+0-	multi_mus_PRJNA398031_4
MSTRG.12512	1+0-	mus_PRJNA293822_27
MSTRG.8584	1+0-	multi_mus_PRJNA398031_4
MSTRG.11898	1+0-	5. PRJNA322593 o PRJNA323485_10
Pyroxd1	0+1-	multi_mus_PRJNA398031_4
Scaper	1+0-	multi_mus_PRJNA398031_4
Otub2	1+0-	4. PRJNA281134_4
